car2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0           1    1.000000e+02     3.000e+02     1.000e+00     0.000e+00     1.000e+00  
    1           3    9.700000e+01     7.986e+00     1.000e+00     4.785e+02     1.049e+03  
    2           5    9.442843e+01     3.476e-01     1.000e+00     1.732e+00     1.000e+00  
    3           8    8.872548e+01     3.888e-02     1.000e+00     3.514e+00     1.000e+00  
    4          10    8.635437e+01     2.312e-02     1.000e+00     2.331e+00     1.000e+00  
    5          16    8.228598e+01     2.381e-02     3.430e-01     4.004e+00     1.001e+00  
    6          25    7.954482e+01     2.469e-02     1.176e-01     2.692e+00     1.001e+00  
    7          34    7.711640e+01     2.513e-02     1.176e-01     2.380e+00     1.001e+00  
    8          43    7.496385e+01     2.520e-02     1.176e-01     2.105e+00     1.001e+00  
    9          52    7.305299e+01     2.514e-02     1.176e-01     1.865e+00     1.002e+00  
   10          61    7.135397e+01     2.496e-02     1.176e-01     1.656e+00     1.002e+00  
   11          70    6.984029e+01     2.468e-02     1.176e-01     1.475e+00     1.002e+00  
   12          79    6.848822e+01     2.431e-02     1.176e-01     1.320e+00     1.003e+00  
   13          88    6.727619e+01     2.389e-02     1.176e-01     1.190e+00     9.531e-01  
   14          97    6.618415e+01     2.348e-02     1.176e-01     1.087e+00     9.000e-01  
   15         107    6.549167e+01     2.238e-02     8.235e-02     7.067e-01     8.657e-01  
   16         117    6.483514e+01     2.145e-02     8.235e-02     6.982e-01     8.329e-01  
   17         127    6.420333e+01     2.073e-02     8.235e-02     7.222e-01     8.728e-01  
   18         138    6.376703e+01     1.999e-02     5.765e-02     5.633e-01     9.098e-01  
   19         149    6.330071e+01     1.952e-02     5.765e-02     7.379e-01     9.448e-01  
   20         159    6.248495e+01     1.771e-02     8.235e-02     1.807e+00     9.906e-01  
   21         169    6.142733e+01     1.610e-02     8.235e-02     3.358e+00     1.023e+00  
   22         181    6.100608e+01     1.634e-02     4.035e-02     1.596e+00     8.564e-01  
