problem1a
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0           1    1.000000e+00     3.553e-15     1.000e+00     0.000e+00     1.667e+00  
    1           3    8.915762e-01     9.631e-03     1.000e+00     3.293e-01     1.585e-01  
    2           7    7.808330e-01     2.529e-02     7.000e-01     7.910e-01     1.872e-01  
    3           9    7.579297e-01     3.560e-03     1.000e+00     1.779e-01     5.354e-02  
    4          11    7.610605e-01     3.521e-04     1.000e+00     7.247e-02     1.487e-02  
    5          13    7.615615e-01     4.624e-05     1.000e+00     1.971e-02     1.657e-03  
    6          15    7.615986e-01     4.349e-06     1.000e+00     4.121e-03     1.240e-03  
    7          17    7.615953e-01     2.812e-06     1.000e+00     3.901e-03     4.009e-04  
    8          19    7.615978e-01     1.033e-07     1.000e+00     8.280e-04     1.190e-04  
    9          21    7.615978e-01     2.029e-08     1.000e+00     3.089e-04     4.274e-05  
   10          23    7.615978e-01     8.259e-09     1.000e+00     1.664e-04     2.843e-05  
   11          25    7.615978e-01     6.944e-10     1.000e+00     9.333e-05     1.062e-05  
   12          27    7.615978e-01     8.967e-11     1.000e+00     3.511e-05     6.318e-06  
   13          29    7.615978e-01     1.406e-10     1.000e+00     3.251e-05     8.492e-06  
   14          31    7.615978e-01     2.748e-10     1.000e+00     4.094e-05     1.038e-05  
   15          34    7.615978e-01     1.135e-14     1.000e+00     7.053e-05     1.178e-05  
   16          37    7.615978e-01     1.502e-13     1.000e+00     1.609e-04     3.330e-05  
   17          40    7.615978e-01     1.986e-12     1.000e+00     4.136e-04     9.883e-05  
   18          43    7.615978e-01     1.839e-10     1.000e+00     1.086e-03     2.844e-04  
   19          47    7.615978e-01     3.971e-09     7.000e-01     1.994e-03     6.362e-04  
   20          55    7.615978e-01     7.564e-09     1.681e-01     1.412e-03     8.867e-04  
   21          68    7.615978e-01     8.698e-09     2.825e-02     6.952e-04     1.008e-03  
   22          84    7.615978e-01     1.026e-08     9.689e-03     5.678e-04     1.107e-03  
   23         103    7.615978e-01     2.424e-09     2.326e-03     2.908e-04     1.156e-03  
   24         131    7.615978e-01     2.544e-09     9.387e-05     2.835e-05     1.161e-03  
   25         162    7.615978e-01     2.668e-09     3.220e-05     2.872e-05     1.167e-03  
   26         194    7.615978e-01     2.792e-09     2.254e-05     2.884e-05     1.174e-03  
   27         226    7.615978e-01     2.917e-09     2.254e-05     2.883e-05     1.182e-03  
   28         258    7.615978e-01     3.042e-09     2.254e-05     2.883e-05     1.189e-03  
   29         290    7.615978e-01     3.166e-09     2.254e-05     2.883e-05     1.197e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   30         322    7.615978e-01     3.291e-09     2.254e-05     2.883e-05     1.204e-03  
   31         354    7.615978e-01     3.415e-09     2.254e-05     2.883e-05     1.211e-03  
   32         386    7.615978e-01     3.540e-09     2.254e-05     2.882e-05     1.218e-03  
   33         418    7.615978e-01     3.664e-09     2.254e-05     2.882e-05     1.225e-03  
   34         450    7.615978e-01     3.789e-09     2.254e-05     2.882e-05     1.232e-03  
   35         482    7.615978e-01     3.913e-09     2.254e-05     2.882e-05     1.238e-03  
   36         514    7.615978e-01     4.038e-09     2.254e-05     2.882e-05     1.244e-03  
   37         546    7.615978e-01     4.162e-09     2.254e-05     2.881e-05     1.249e-03  
   38         578    7.615978e-01     4.287e-09     2.254e-05     2.881e-05     1.254e-03  
   39         610    7.615978e-01     4.411e-09     2.254e-05     2.881e-05     1.258e-03  
   40         642    7.615978e-01     4.536e-09     2.254e-05     2.881e-05     1.258e-03  
   41         674    7.615978e-01     4.660e-09     2.254e-05     2.881e-05     1.256e-03  
   42         706    7.615978e-01     4.784e-09     2.254e-05     2.880e-05     1.240e-03  
   43         738    7.615978e-01     4.909e-09     2.254e-05     2.880e-05     1.170e-03  
   44         768    7.615978e-01     5.004e-09     4.600e-05     2.522e-05     9.719e-04  
   45         798    7.615978e-01     5.086e-09     4.600e-05     2.326e-05     7.934e-04  
   46         830    7.615978e-01     5.206e-09     2.254e-05     2.830e-05     7.474e-04  
   47         862    7.615978e-01     5.331e-09     2.254e-05     2.878e-05     7.527e-04  
   48         894    7.615978e-01     5.456e-09     2.254e-05     2.878e-05     7.614e-04  
   49         927    7.615978e-01     5.517e-09     1.578e-05     2.014e-05     7.674e-04  
   50         960    7.615978e-01     5.578e-09     1.578e-05     2.014e-05     7.735e-04  
   51         993    7.615978e-01     5.640e-09     1.578e-05     2.014e-05     7.795e-04  
   52        1025    7.615978e-01     5.765e-09     2.254e-05     2.876e-05     7.882e-04  
   53        1057    7.615978e-01     5.890e-09     2.254e-05     2.876e-05     7.968e-04  
   54        1089    7.615978e-01     6.015e-09     2.254e-05     2.875e-05     8.055e-04  
   55        1121    7.615978e-01     6.141e-09     2.254e-05     2.875e-05     8.141e-04  
   56        1153    7.615978e-01     6.266e-09     2.254e-05     2.875e-05     8.227e-04  
   57        1185    7.615978e-01     6.392e-09     2.254e-05     2.874e-05     8.314e-04  
   58        1217    7.615978e-01     6.518e-09     2.254e-05     2.874e-05     8.400e-04  
   59        1249    7.615978e-01     6.644e-09     2.254e-05     2.873e-05     8.487e-04  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   60        1281    7.615978e-01     6.769e-09     2.254e-05     2.873e-05     8.573e-04  
   61        1313    7.615978e-01     6.895e-09     2.254e-05     2.872e-05     8.660e-04  
   62        1345    7.615978e-01     7.022e-09     2.254e-05     2.872e-05     8.746e-04  
   63        1377    7.615978e-01     7.148e-09     2.254e-05     2.872e-05     8.832e-04  
   64        1409    7.615978e-01     7.274e-09     2.254e-05     2.871e-05     8.919e-04  
   65        1441    7.615978e-01     7.400e-09     2.254e-05     2.871e-05     9.005e-04  
   66        1473    7.615978e-01     7.527e-09     2.254e-05     2.870e-05     9.091e-04  
   67        1505    7.615978e-01     7.653e-09     2.254e-05     2.870e-05     9.178e-04  
   68        1537    7.615978e-01     7.780e-09     2.254e-05     2.870e-05     9.264e-04  
   69        1569    7.615978e-01     7.906e-09     2.254e-05     2.869e-05     9.350e-04  
   70        1601    7.615978e-01     8.033e-09     2.254e-05     2.869e-05     9.437e-04  
   71        1633    7.615978e-01     8.160e-09     2.254e-05     2.868e-05     9.523e-04  
   72        1665    7.615978e-01     8.287e-09     2.254e-05     2.868e-05     9.609e-04  
   73        1697    7.615978e-01     8.414e-09     2.254e-05     2.868e-05     9.696e-04  
   74        1729    7.615978e-01     8.541e-09     2.254e-05     2.867e-05     9.782e-04  
   75        1761    7.615978e-01     8.668e-09     2.254e-05     2.867e-05     9.868e-04  
   76        1764    7.534552e-01     2.101e-01     7.000e-01     1.673e-01     2.328e+00  
   77        1766    7.587041e-01     4.520e-03     1.000e+00     1.671e-01     4.773e-02  
   78        1768    7.616471e-01     3.186e-06     1.000e+00     6.095e-03     5.017e-03  
   79        1770    7.616217e-01     5.769e-06     1.000e+00     4.550e-03     3.262e-03  
   80        1772    7.615741e-01     3.994e-05     1.000e+00     1.225e-02     5.606e-04  
   81        1774    7.615989e-01     3.262e-08     1.000e+00     6.076e-04     4.668e-04  
   82        1776    7.615971e-01     5.252e-07     1.000e+00     2.403e-03     1.103e-04  
   83        1778    7.615978e-01     1.345e-08     1.000e+00     4.122e-04     2.875e-05  
   84        1780    7.615978e-01     1.286e-10     1.000e+00     2.797e-05     2.224e-05  
   85        1782    7.615978e-01     1.916e-09     1.000e+00     9.203e-05     4.931e-06  
   86        1784    7.615978e-01     1.277e-11     1.000e+00     8.367e-06     4.574e-06  
   87        1787    7.615978e-01     2.928e-15     1.000e+00     4.563e-05     6.373e-06  
   88        1790    7.615978e-01     3.255e-13     1.000e+00     2.054e-04     2.089e-05  
   89        1793    7.615978e-01     1.461e-13     1.000e+00     1.650e-04     3.564e-05  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90        1796    7.615978e-01     1.841e-12     1.000e+00     4.720e-04     9.434e-05  
   91        1799    7.615978e-01     6.679e-11     1.000e+00     8.278e-04     2.046e-04  
   92        1802    7.615978e-01     3.214e-09     1.000e+00     2.105e-03     5.167e-04  
   93        1808    7.615978e-01     6.352e-09     3.430e-01     1.687e-03     7.714e-04  
   94        1819    7.615978e-01     7.621e-09     5.765e-02     8.999e-04     9.061e-04  
   95        1833    7.615978e-01     9.234e-09     1.977e-02     7.196e-04     1.009e-03  
   96        1850    7.615978e-01     3.798e-09     4.748e-03     3.314e-04     1.055e-03  
   97        1876    7.615978e-01     3.868e-09     1.916e-04     2.459e-05     1.058e-03  
   98        1903    7.615978e-01     3.971e-09     1.341e-04     2.968e-05     1.063e-03  
   99        1931    7.615978e-01     4.090e-09     9.387e-05     3.178e-05     1.068e-03  
