problem1b
Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       1    1.000000e+00    8.687e+00    9.252e-01
    1       3    9.802159e-01    5.593e+00    9.252e-01    1.202e+00
    2       4    9.191407e-01    1.277e+00    9.252e-01    1.403e+00
    3       5    7.875736e-01    1.056e+00    9.252e-01    1.579e+00
    4       7    8.940575e-01    6.409e-01    9.252e-01    5.928e-01
    5       9    9.474051e-01    4.217e-01    9.252e-01    6.666e-01
    6      11    9.727003e-01    2.640e-01    9.252e-01    5.487e-01
    7      14    9.674585e-01    2.079e-01    9.252e-01    2.650e-01
    8      16    9.836716e-01    1.117e-01    9.252e-01    2.882e-01
    9      18    9.869747e-01    6.066e-02    9.252e-01    2.831e-01
   10      21    9.881981e-01    4.548e-02    9.252e-01    1.335e-01
   11      23    9.879607e-01    2.283e-02    9.252e-01    2.914e-01
   12      25    9.893104e-01    1.122e-02    9.252e-01    8.793e-02
   13      27    9.897523e-01    5.671e-03    8.904e-01    4.547e-02
   14      29    9.898895e-01    2.537e-03    5.806e-01    4.085e-02
   15      31    9.901004e-01    1.078e-03    3.674e-01    3.693e-02
   16      33    9.902237e-01    4.919e-04    2.094e-01    2.544e-02
   17      35    9.903713e-01    2.496e-04    1.168e-01    1.717e-02
   18      37    9.901232e-01    1.254e-04    6.018e-02    3.605e-03
   19      39    9.897252e-01    6.297e-05    4.012e-02    4.334e-03
   20      40    9.878464e-01    4.133e-05    1.861e-02    1.376e-02
   21      54    9.874548e-01    3.826e-05    1.785e-02    2.785e-03
   22      57    9.874415e-01    3.826e-05    1.783e-02    8.658e-05
   23      65    9.872405e-01    3.627e-05    1.744e-02    1.420e-03
   24      68    9.871983e-01    3.630e-05    1.736e-02    2.776e-04
   25      76    9.869943e-01    3.458e-05    1.696e-02    1.437e-03
   26      79    9.869457e-01    3.462e-05    1.687e-02    3.213e-04
   27      87    9.867386e-01    3.317e-05    1.646e-02    1.454e-03
   28      90    9.867116e-01    3.318e-05    1.641e-02    1.769e-04
   29      97    9.865017e-01    3.381e-05    1.599e-02    1.470e-03
   30     100    9.864728e-01    3.381e-05    1.594e-02    1.879e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     108    9.863664e-01    3.419e-05    1.573e-02    7.428e-04
   32     111    9.863353e-01    3.420e-05    1.567e-02    2.016e-04
   33     119    9.862281e-01    3.456e-05    1.546e-02    7.474e-04
   34     122    9.861944e-01    3.457e-05    1.540e-02    2.199e-04
   35     130    9.860863e-01    3.493e-05    1.518e-02    7.522e-04
   36     133    9.860496e-01    3.493e-05    1.512e-02    2.448e-04
   37     141    9.859407e-01    3.528e-05    1.490e-02    7.571e-04
   38     144    9.859007e-01    3.528e-05    1.483e-02    2.742e-04
   39     152    9.857910e-01    3.562e-05    1.461e-02    7.621e-04
   40     155    9.857481e-01    3.562e-05    1.454e-02    3.013e-04
   41     163    9.856375e-01    3.595e-05    1.432e-02    7.672e-04
   42     166    9.856148e-01    3.595e-05    1.428e-02    1.610e-04
   43     173    9.855035e-01    3.627e-05    1.405e-02    7.716e-04
   44     176    9.854803e-01    3.627e-05    1.402e-02    1.657e-04
   45     183    9.853682e-01    3.658e-05    1.379e-02    7.760e-04
   46     186    9.853445e-01    3.658e-05    1.375e-02    1.692e-04
   47     193    9.852316e-01    3.689e-05    1.352e-02    7.805e-04
   48     198    9.851859e-01    3.689e-05    1.345e-02    3.270e-04
   49     204    9.851290e-01    3.701e-05    1.333e-02    3.929e-04
   50     209    9.850831e-01    3.701e-05    1.325e-02    3.281e-04
   51     215    9.850259e-01    3.712e-05    1.314e-02    3.946e-04
   52     220    9.849798e-01    3.713e-05    1.306e-02    3.295e-04
   53     226    9.849223e-01    3.709e-05    1.294e-02    3.966e-04
   54     231    9.848759e-01    3.709e-05    1.287e-02    3.308e-04
   55     237    9.848182e-01    3.720e-05    1.275e-02    3.981e-04
   56     242    9.847716e-01    3.721e-05    1.267e-02    3.321e-04
   57     248    9.847136e-01    3.716e-05    1.255e-02    4.001e-04
   58     253    9.846668e-01    3.717e-05    1.248e-02    3.335e-04
   59     259    9.846085e-01    3.713e-05    1.236e-02    4.018e-04
   60     264    9.845615e-01    3.714e-05    1.228e-02    3.348e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61     270    9.845029e-01    3.709e-05    1.216e-02    4.036e-04
   62     275    9.844556e-01    3.710e-05    1.208e-02    3.361e-04
   63     281    9.843968e-01    3.706e-05    1.196e-02    4.053e-04
   64     286    9.843493e-01    3.706e-05    1.188e-02    3.373e-04
   65     292    9.842902e-01    3.702e-05    1.176e-02    4.071e-04
   66     297    9.842425e-01    3.703e-05    1.168e-02    3.386e-04
   67     303    9.841831e-01    3.699e-05    1.155e-02    4.089e-04
   68     308    9.841352e-01    3.700e-05    1.148e-02    3.398e-04
   69     314    9.840756e-01    3.711e-05    1.135e-02    4.104e-04
   70     319    9.840275e-01    3.711e-05    1.127e-02    3.411e-04
   71     325    9.839675e-01    3.707e-05    1.114e-02    4.124e-04
   72     330    9.839192e-01    3.708e-05    1.106e-02    3.423e-04
   73     336    9.838590e-01    3.704e-05    1.094e-02    4.141e-04
   74     341    9.838105e-01    3.704e-05    1.086e-02    3.435e-04
   75     347    9.837500e-01    3.701e-05    1.073e-02    4.159e-04
   76     352    9.837013e-01    3.701e-05    1.065e-02    3.447e-04
   77     358    9.836405e-01    3.697e-05    1.052e-02    4.176e-04
   78     363    9.835916e-01    3.698e-05    1.044e-02    3.459e-04
   79     369    9.835305e-01    3.694e-05    1.031e-02    4.194e-04
   80     374    9.834814e-01    3.695e-05    1.023e-02    3.471e-04
   81     380    9.834201e-01    3.706e-05    1.010e-02    4.210e-04
   82     385    9.833708e-01    3.706e-05    1.001e-02    3.483e-04
   83     391    9.833091e-01    3.703e-05    9.883e-03    4.229e-04
   84     396    9.832596e-01    3.703e-05    9.801e-03    3.494e-04
   85     402    9.831977e-01    3.699e-05    9.668e-03    4.247e-04
   86     407    9.831481e-01    3.700e-05    9.585e-03    3.505e-04
   87     413    9.830859e-01    3.696e-05    9.452e-03    4.264e-04
   88     418    9.830360e-01    3.697e-05    9.369e-03    3.517e-04
   89     424    9.829735e-01    3.693e-05    9.234e-03    4.282e-04
   90     429    9.829235e-01    3.694e-05    9.151e-03    3.528e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91     435    9.828607e-01    3.690e-05    9.015e-03    4.299e-04
   92     440    9.828105e-01    3.690e-05    8.931e-03    3.539e-04
   93     446    9.827475e-01    3.687e-05    8.795e-03    4.317e-04
   94     451    9.826970e-01    3.687e-05    8.710e-03    3.550e-04
   95     457    9.826338e-01    3.699e-05    8.574e-03    4.332e-04
   96     462    9.825832e-01    3.699e-05    8.488e-03    3.561e-04
   97     468    9.825196e-01    3.696e-05    8.351e-03    4.352e-04
   98     473    9.824688e-01    3.696e-05    8.265e-03    3.572e-04
   99     479    9.824050e-01    3.693e-05    8.126e-03    4.369e-04
  100     484    9.823540e-01    3.693e-05    8.040e-03    3.582e-04
  101     490    9.822899e-01    3.690e-05    7.900e-03    4.387e-04
  102     495    9.822387e-01    3.690e-05    7.814e-03    3.593e-04
  103     501    9.821744e-01    3.687e-05    7.673e-03    4.404e-04
  104     506    9.821230e-01    3.687e-05    7.586e-03    3.603e-04
  105     512    9.820584e-01    3.684e-05    7.548e-03    4.422e-04
  106     517    9.820068e-01    3.684e-05    7.484e-03    3.614e-04
  107     523    9.819420e-01    3.681e-05    7.461e-03    4.439e-04
  108     528    9.818902e-01    3.681e-05    7.397e-03    3.624e-04
  109     534    9.818251e-01    3.693e-05    7.374e-03    4.454e-04
  110     539    9.817732e-01    3.693e-05    7.310e-03    3.634e-04
  111     545    9.817078e-01    3.690e-05    7.286e-03    4.474e-04
  112     550    9.816557e-01    3.690e-05    7.222e-03    3.644e-04
  113     556    9.815901e-01    3.687e-05    7.199e-03    4.491e-04
  114     561    9.815378e-01    3.688e-05    7.135e-03    3.654e-04
  115     567    9.814719e-01    3.684e-05    7.111e-03    4.508e-04
  116     572    9.814195e-01    3.685e-05    7.047e-03    3.664e-04
  117     578    9.813533e-01    3.681e-05    7.023e-03    4.526e-04
  118     583    9.813007e-01    3.682e-05    6.960e-03    3.674e-04
  119     589    9.812343e-01    3.678e-05    7.048e-03    4.543e-04
  120     594    9.811815e-01    3.679e-05    7.030e-03    3.683e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121     600    9.811148e-01    3.676e-05    7.118e-03    4.560e-04
