problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       1    1.611157e+01    1.416e-03    6.045e-01
    1       2    1.539121e+01    5.481e-02    6.045e-01    8.709e-01
    2       3    1.191023e+01    1.247e+00    5.778e-01    4.267e+00
    3       5    4.160767e+00    8.592e-01    3.767e+00    1.140e+01
    4       7    5.236737e+00    5.324e-01    3.307e+00    1.782e+00
    5       8    4.497210e+00    1.630e-01    6.090e-01    1.322e+00
    6       9    4.328922e+00    3.659e-02    4.948e-01    9.841e-01
    7      10    3.130534e+00    5.239e-01    6.074e-01    4.263e+00
    8      12    1.902111e+00    1.295e+00    9.054e+00    5.639e+00
    9      13    1.355691e+00    1.098e-01    1.885e+00    2.339e+00
   10      14    8.629826e-01    2.578e-01    1.699e+00    2.979e+00
   11      15    3.651021e-01    3.963e-01    2.291e+00    4.232e+00
   12      16    3.718396e-01    6.994e-02    3.094e+00    1.568e+00
   13      17    2.927536e-01    4.509e-02    1.716e+00    1.964e+00
   14      19    2.855255e-01    4.195e-02    1.221e+00    3.262e+00
   15      20    2.663844e-01    3.235e-02    1.172e+00    8.624e-01
   16      21    2.711028e-01    5.028e-02    1.312e+00    1.053e+00
   17      22    2.727861e-01    2.953e-02    1.501e+00    1.039e+00
   18      23    2.654149e-01    2.259e-02    1.313e+00    8.788e-01
   19      24    2.471582e-01    6.674e-02    5.455e-01    1.258e+00
   20      25    2.491271e-01    9.632e-03    4.831e-01    5.713e-01
   21      26    2.454976e-01    8.113e-03    1.641e-01    5.589e-01
   22      27    2.387082e-01    8.093e-03    1.790e-01    5.145e-01
   23      28    2.367383e-01    1.284e-02    1.713e-01    5.134e-01
   24      29    2.436153e-01    4.520e-03    1.557e-01    2.751e-01
   25      30    2.512340e-01    4.927e-04    1.461e-01    1.559e-01
   26      31    2.636550e-01    2.391e-03    1.000e-01    3.026e-01
   27      32    2.285847e-01    7.677e-03    1.021e-01    6.758e-01
   28      33    1.956721e-01    2.065e-02    4.798e-02    8.477e-01
   29      34    1.977484e-01    1.144e-03    5.836e-02    2.297e-01
   30      35    1.955348e-01    9.639e-04    4.384e-02    2.408e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31      36    1.943323e-01    1.406e-03    4.587e-02    2.509e-01
   32      37    1.935151e-01    1.500e-03    3.619e-02    2.391e-01
