problem2bdu


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
    0       1    1.611157e+01   1.416e-03                           1.620e+00
    1       2    1.542247e+01   4.621e-02   1.000e+00   8.301e-01   6.206e-01
    2       3    1.205695e+01   1.077e+00   1.000e+00   4.102e+00   5.642e-01
    3       5    4.259488e+00   7.037e-01   1.000e+00   1.151e+01   4.537e+00
    4       6    4.415516e+00   4.232e-03   1.000e+00   5.693e-01   3.507e-01
    5       7    4.228166e+00   9.128e-03   1.000e+00   6.000e-01   2.783e-01
    6       8    3.306982e+00   2.247e-01   1.000e+00   2.972e+00   3.480e-01
    7       9    2.335865e+00   4.277e-01   1.000e+00   3.425e+00   2.947e+00
    8      10    1.681493e+00   3.862e-01   1.000e+00   2.964e+00   4.458e+00
    9      11   -8.254351e-02   2.741e+00   1.000e+00   8.749e+00   4.045e+00
   10      12    5.486033e-01   2.312e-02   1.000e+00   2.036e+00   4.327e+00
   11      13    3.014262e-01   1.861e-01   1.000e+00   2.680e+00   1.435e+00
   12      14    2.577535e-01   8.957e-02   1.000e+00   1.725e+00   4.193e-01
   13      15    2.615350e-01   2.680e-03   1.000e+00   3.559e-01   8.836e-02
   14      16    2.008097e-01   3.196e-02   1.000e+00   1.452e+00   2.260e-01
   15      17    1.953995e-01   4.562e-03   1.000e+00   4.401e-01   1.925e-01
   16      18    1.480933e-01   5.241e-02   1.000e+00   1.514e+00   1.327e-01
   17      19    1.589612e-01   2.692e-04   1.000e+00   6.912e-02   5.836e-02
   18      20    1.575164e-01   7.320e-04   1.000e+00   1.020e-01   2.180e-02
   19      21    1.511320e-01   1.583e-02   1.000e+00   4.806e-01   2.322e-02
   20      23    1.475791e-01   3.557e-03   1.000e+00   1.042e+00   2.870e-02
   21      24    1.466815e-01   3.300e-04   1.000e+00   9.794e-02   3.676e-02
   22      26    1.456600e-01   2.527e-04   1.000e+00   3.138e-01   3.305e-02
   23      28    1.440463e-01   8.958e-04   1.000e+00   8.317e-01   2.990e-02
   24      29    1.437866e-01   2.408e-04   1.000e+00   9.802e-02   2.187e-02
   25      30    1.434962e-01   8.043e-04   1.000e+00   1.475e-01   1.161e-02
   26      31    1.434790e-01   5.362e-05   1.000e+00   4.621e-02   9.264e-03
   27      32    1.426214e-01   2.072e-03   1.000e+00   2.359e-01   2.610e-02
   28      33    1.419097e-01   4.824e-03   1.000e+00   3.468e-01   3.199e-02
   29      34    1.410633e-01   8.265e-03   1.000e+00   4.820e-01   2.768e-02
   30      35    1.410879e-01   7.425e-04   1.000e+00   1.438e-01   9.124e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   31      36    1.410780e-01   1.728e-04   1.000e+00   5.887e-02   1.334e-02
   32      37    1.410084e-01   2.808e-04   1.000e+00   6.278e-02   1.547e-02
   33      38    1.407913e-01   1.491e-03   1.000e+00   1.531e-01   2.203e-02
   34      39    1.404011e-01   4.275e-03   1.000e+00   3.085e-01   2.201e-02
