problem5

                                Max     Line search  Directional  First-order 
 Iter F-count        f(x)   constraint   steplength   derivative   optimality Procedure 
    0      1    -0.602978        2.503                                         Infeasible start point
    1      3    -0.601338       0.1594            1     0.000407         12.5   dependent
    2      5    -0.597647     0.003854            1       0.0126            8   dependent
    3      7    -0.597963    3.304e-05            1      -0.0254         7.92  Hessian modified;   dependent
    4      9    -0.598156    4.251e-06            1      -0.0102         7.93  Hessian modified twice;   dependent
    5     12     -0.60528      0.00545          0.5      -0.0102         7.94  Hessian modified;   dependent
    6     14    -0.609881     0.008133            1     -0.00579         8.09   dependent
    7     16    -0.609291     0.001767            1      0.00195         8.15   dependent
    8     18     -0.60938    0.0006634            1    -0.000427         8.14  Hessian modified;   dependent
    9     20     -0.60932    0.0001081            1     0.000714         8.16  Hessian modified;   dependent
   10     22    -0.609312    1.375e-05            1     0.000254         8.17  Hessian modified;   dependent
   11     24    -0.609321    1.045e-05            1    -0.000331         8.17  Hessian modified;   dependent
   12     27    -0.609331    1.375e-05          0.5    -0.000575         8.17  Hessian modified;   dependent
   13     31    -0.609346    2.037e-05         0.25    -0.000849         8.17  Hessian modified;   dependent
   14     35    -0.609376      4.6e-05         0.25     -0.00109         8.17  Hessian modified;   dependent
   15     40    -0.609397    5.522e-05        0.125     -0.00125         8.17  Hessian modified;   dependent
   16     45    -0.609429     7.48e-05        0.125      -0.0014         8.17  Hessian modified;   dependent
   17     50    -0.609469    0.0001072        0.125     -0.00148         8.17  Hessian modified;   dependent
   18     55    -0.609514    0.0001518        0.125     -0.00153         8.17  Hessian modified;   dependent
   19     61    -0.609539    0.0001597       0.0625     -0.00154         8.17  Hessian modified;   dependent
   20     67    -0.609567    0.0001708       0.0625     -0.00157         8.17  Hessian modified;   dependent
   21     73    -0.609596    0.0001842       0.0625     -0.00157         8.17  Hessian modified;   dependent
   22     79    -0.609626    0.0001991       0.0625     -0.00157         8.17  Hessian modified;   dependent
   23     85    -0.609657    0.0002148       0.0625     -0.00155         8.17  Hessian modified;   dependent
   24     91    -0.609687    0.0002307       0.0625     -0.00153         8.17  Hessian modified;   dependent
   25     97    -0.609717    0.0002463       0.0625      -0.0015         8.17  Hessian modified;   dependent
   26    103    -0.609746    0.0002611       0.0625     -0.00146         8.17  Hessian modified;   dependent
   27    109    -0.609774    0.0002747       0.0625     -0.00143         8.16  Hessian modified;   dependent
   28    115    -0.609801    0.0002869       0.0625     -0.00139         8.16  Hessian modified;   dependent
   29    121    -0.609827    0.0002976       0.0625     -0.00136         8.16  Hessian modified;   dependent
   30    127    -0.609851    0.0003066       0.0625     -0.00132         8.16  Hessian modified;   dependent
   31    133    -0.609874     0.000314       0.0625     -0.00128         8.16  Hessian modified;   dependent
   32    139    -0.609896    0.0003196       0.0625     -0.00125         8.16  Hessian modified;   dependent
   33    145    -0.609916    0.0003237       0.0625     -0.00121         8.16  Hessian modified;   dependent
   34    151    -0.609936    0.0003262       0.0625     -0.00117         8.16  Hessian modified;   dependent
   35    157    -0.609954    0.0003273       0.0625     -0.00114         8.16  Hessian modified;   dependent
   36    162    -0.609987    0.0003674        0.125      -0.0011         8.16  Hessian modified;   dependent
   37    167    -0.610017    0.0003913        0.125     -0.00103         8.16  Hessian modified;   dependent
   38    172    -0.610042    0.0004027        0.125    -0.000966         8.16  Hessian modified;   dependent
   39    177    -0.610064    0.0004045        0.125    -0.000905         8.16  Hessian modified;   dependent
   40    182    -0.610084     0.000399        0.125    -0.000848         8.16  Hessian modified;   dependent
   41    187    -0.610101    0.0003882        0.125    -0.000795         8.16  Hessian modified;   dependent
   42    191     -0.61013    0.0004272         0.25    -0.000746         8.16  Hessian modified;   dependent
   43    195    -0.610152    0.0004207         0.25    -0.000646         8.16  Hessian modified;   dependent
   44    199    -0.610169    0.0003906         0.25    -0.000561         8.15  Hessian modified;   dependent
   45    202    -0.610195    0.0004223          0.5    -0.000489         8.15  Hessian modified;   dependent
   46    205    -0.610208    0.0003347          0.5    -0.000341         8.15  Hessian modified;   dependent
   47    207    -0.610223    0.0002821            1    -0.000245         8.15  Hessian modified;   dependent
   48    209    -0.610224    7.595e-05            1    -4.72e-05         8.15  Hessian modified;   dependent
   49    211    -0.610226    2.608e-05            1    -5.73e-05         8.15  Hessian modified;   dependent
   50    213    -0.610227    1.301e-05            1     -7.7e-05         8.15  Hessian modified;   dependent
   51    215    -0.610228    1.148e-05            1    -0.000105         8.15  Hessian modified;   dependent
   52    217     -0.61023    1.517e-05            1    -0.000139         8.15  Hessian modified;   dependent
   53    220    -0.610232    1.325e-05          0.5    -0.000178         8.15  Hessian modified;   dependent
   54    223    -0.610237    1.756e-05          0.5    -0.000241         8.14  Hessian modified;   dependent
   55    226    -0.610243     2.25e-05          0.5    -0.000285         8.14  Hessian modified;   dependent
   56    228    -0.610261    0.0001097            1    -0.000317         8.14  Hessian modified;   dependent
   57    230    -0.610275    9.965e-05            1    -0.000269         8.14  Hessian modified;   dependent
   58    232     -0.61029    0.0001014            1    -0.000286         8.14  Hessian modified;   dependent
   59    234    -0.610305    7.995e-05            1    -0.000279         8.14  Hessian modified;   dependent
   60    236    -0.610316    4.331e-05            1    -0.000237         8.14  Hessian modified;   dependent
   61    238    -0.610321    1.485e-05            1    -0.000158         8.15  Hessian modified;   dependent
   62    240    -0.610323    5.017e-06            1    -8.48e-05         8.15  Hessian modified;   dependent
   63    242    -0.610323    2.186e-06            1    -5.08e-05         8.15  Hessian modified;   dependent
   64    244    -0.610324    1.474e-06            1    -4.99e-05         8.15  Hessian modified;   dependent
   65    247    -0.610324    1.237e-06          0.5    -5.95e-05         8.15  Hessian modified;   dependent
   66    251    -0.610324    1.353e-06         0.25     -7.8e-05         8.15  Hessian modified;   dependent
   67    256    -0.610324    1.426e-06        0.125    -9.34e-05         8.15  Hessian modified;   dependent
   68    261    -0.610325    1.689e-06        0.125    -0.000108         8.15  Hessian modified;   dependent
   69    267    -0.610325    1.744e-06       0.0625    -0.000118         8.15  Hessian modified;   dependent
   70    273    -0.610325     1.85e-06       0.0625     -0.00013         8.15  Hessian modified;   dependent
   71    279    -0.610325    1.997e-06       0.0625     -0.00014         8.15  Hessian modified;   dependent
   72    285    -0.610326    2.169e-06       0.0625     -0.00015         8.15  Hessian modified;   dependent
   73    291    -0.610326    2.355e-06       0.0625    -0.000158         8.15  Hessian modified;   dependent
