problem7
                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
    0       1   -1.807259e+01   4.371e-03   1.000e+00   0.000e+00   2.990e+02
    1       3   -1.838178e+01   8.896e-03   1.000e+00   5.560e-01   1.451e+00
    2       5   -1.976966e+01   9.132e-02   1.000e+00   2.637e+00   9.193e-01
    3       7   -2.025039e+01   1.643e-01   1.000e+00   2.129e+00   2.304e+00
    4       9   -1.994245e+01   5.130e-04   1.000e+00   3.541e-01   9.028e-01
    5      11   -1.996958e+01   4.743e-04   1.000e+00   2.751e-01   4.349e-01
    6      13   -2.009747e+01   1.029e-02   1.000e+00   1.337e+00   6.077e-01
    7      15   -2.014250e+01   1.499e-02   1.000e+00   1.230e+00   1.010e+00
    8      17   -2.021697e+01   1.940e-02   1.000e+00   1.313e+00   1.226e+00
    9      19   -2.027782e+01   1.607e-03   1.000e+00   4.898e-01   1.588e+00
   10      21   -2.039733e+01   4.001e-03   1.000e+00   1.113e+00   3.844e-01
   11      23   -2.042512e+01   8.244e-03   1.000e+00   9.109e-01   4.999e-01
   12      25   -2.058654e+01   8.440e-02   1.000e+00   2.375e+00   1.303e+00
   13      27   -2.059588e+01   7.655e-03   1.000e+00   8.562e-01   1.029e+00
   14      29   -2.066977e+01   5.951e-03   1.000e+00   8.024e-01   4.599e-01
   15      31   -2.066930e+01   2.780e-03   1.000e+00   5.978e-01   1.888e-01
   16      33   -2.071656e+01   8.617e-03   1.000e+00   1.168e+00   4.964e-01
   17      35   -2.072882e+01   1.617e-03   1.000e+00   3.382e-01   6.068e-01
   18      37   -2.073865e+01   1.506e-03   1.000e+00   2.915e-01   1.344e-01
   19      39   -2.073576e+01   1.912e-04   1.000e+00   9.654e-02   1.046e-01
   20      41   -2.074957e+01   4.096e-03   1.000e+00   5.970e-01   2.139e-01
   21      43   -2.076194e+01   7.456e-04   1.000e+00   7.743e-01   5.061e-01
   22      45   -2.083507e+01   8.646e-03   1.000e+00   3.592e+00   1.018e+00
   23      47   -2.082850e+01   2.164e-03   1.000e+00   2.047e-01   1.092e+00
   24      49   -2.083834e+01   3.169e-03   1.000e+00   2.862e-01   1.070e-01
   25      51   -2.083481e+01   1.388e-04   1.000e+00   7.519e-02   7.183e-02
   26      53   -2.084627e+01   3.343e-03   1.000e+00   4.512e-01   1.227e-01
   27      55   -2.085190e+01   1.920e-03   1.000e+00   5.238e-01   1.582e-01
   28      57   -2.085755e+01   6.881e-04   1.000e+00   5.042e-01   1.952e-01
   29      59   -2.086205e+01   2.929e-04   1.000e+00   1.865e-01   2.865e-01
   30      61   -2.087427e+01   3.429e-03   1.000e+00   5.116e-01   1.984e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   31      63   -2.088011e+01   2.547e-03   1.000e+00   6.021e-01   3.860e-01
   32      65   -2.090182e+01   8.641e-03   1.000e+00   1.574e+00   6.192e-01
   33      67   -2.091830e+01   5.731e-03   1.000e+00   1.745e+00   9.186e-01
   34      69   -2.093076e+01   4.555e-03   1.000e+00   1.318e+00   9.469e-01
   35      71   -2.093776e+01   6.069e-03   1.000e+00   7.074e-01   6.037e-01
   36      73   -2.094352e+01   4.954e-03   1.000e+00   3.736e-01   3.013e-01
   37      75   -2.094832e+01   6.773e-04   1.000e+00   1.527e-01   1.935e-01
   38      77   -2.097048e+01   9.441e-03   1.000e+00   5.717e-01   2.880e-01
   39      79   -2.096633e+01   1.678e-03   1.000e+00   2.518e-01   2.148e-01
   40      81   -2.097353e+01   4.424e-03   1.000e+00   4.441e-01   2.062e-01
   41      83   -2.097887e+01   5.291e-03   1.000e+00   5.351e-01   3.045e-01
   42      85   -2.098854e+01   7.870e-03   1.000e+00   7.443e-01   5.218e-01
   43      87   -2.099713e+01   1.054e-03   1.000e+00   3.889e-01   4.188e-01
   44      89   -2.100870e+01   2.317e-03   1.000e+00   7.344e-01   2.305e-01
   45      91   -2.101063e+01   5.680e-04   1.000e+00   4.667e-01   2.599e-01
   46      93   -2.103237e+01   7.819e-03   1.000e+00   1.772e+00   5.572e-01
   47      95   -2.104130e+01   1.890e-03   1.000e+00   7.633e-01   7.559e-01
   48      97   -2.106935e+01   5.863e-03   1.000e+00   4.571e-01   7.488e-01
   49      99   -2.107067e+01   1.829e-03   1.000e+00   4.682e-01   2.695e-01
   50     101   -2.107541e+01   6.050e-04   1.000e+00   6.212e-01   1.769e-01
   51     103   -2.109108e+01   3.179e-03   1.000e+00   1.414e+00   2.809e-01
   52     105   -2.110872e+01   5.986e-03   1.000e+00   1.978e+00   4.558e-01
   53     107   -2.111301e+01   1.551e-03   1.000e+00   1.005e+00   2.878e-01
   54     109   -2.111620e+01   1.389e-03   1.000e+00   3.672e-01   2.873e-01
   55     111   -2.112091e+01   7.865e-04   1.000e+00   3.124e-01   2.714e-01
   56     113   -2.113269e+01   1.481e-03   1.000e+00   6.912e-01   3.652e-01
   57     115   -2.114514e+01   2.232e-03   1.000e+00   9.002e-01   2.890e-01
   58     117   -2.115349e+01   1.910e-03   1.000e+00   3.866e-01   4.684e-01
   59     119   -2.115482e+01   7.028e-04   1.000e+00   2.537e-01   3.220e-01
   60     121   -2.115681e+01   4.320e-04   1.000e+00   2.108e-01   2.480e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   61     123   -2.116362e+01   1.160e-03   1.000e+00   3.948e-01   4.008e-01
   62     125   -2.116731e+01   4.940e-04   1.000e+00   2.347e-01   4.630e-01
   63     127   -2.117574e+01   1.352e-03   1.000e+00   4.503e-01   3.668e-01
   64     129   -2.117589e+01   3.365e-04   1.000e+00   2.953e-01   3.720e-01
   65     131   -2.118240e+01   7.724e-04   1.000e+00   6.189e-01   6.858e-01
   66     133   -2.119155e+01   1.299e-03   1.000e+00   9.586e-01   9.093e-01
   67     135   -2.120240e+01   1.342e-03   1.000e+00   1.206e+00   1.004e+00
   68     137   -2.121450e+01   1.730e-03   1.000e+00   1.342e+00   9.084e-01
   69     139   -2.122311e+01   1.645e-03   1.000e+00   1.087e+00   5.705e-01
   70     141   -2.122930e+01   1.707e-03   1.000e+00   4.725e-01   4.799e-01
   71     143   -2.123895e+01   3.789e-03   1.000e+00   6.164e-01   6.948e-01
   72     145   -2.124462e+01   2.282e-03   1.000e+00   4.352e-01   9.583e-01
   73     147   -2.124967e+01   1.347e-03   1.000e+00   3.200e-01   8.174e-01
   74     149   -2.125061e+01   3.823e-04   1.000e+00   2.544e-01   3.886e-01
   75     151   -2.125200e+01   2.124e-04   1.000e+00   2.576e-01   5.449e-02
   76     153   -2.125431e+01   2.308e-04   1.000e+00   3.224e-01   1.431e-01
   77     155   -2.125793e+01   7.075e-04   1.000e+00   4.682e-01   1.573e-01
   78     157   -2.126155e+01   1.278e-03   1.000e+00   5.259e-01   1.839e-01
   79     159   -2.126431e+01   1.059e-03   1.000e+00   4.509e-01   1.293e-01
   80     161   -2.126706e+01   9.636e-04   1.000e+00   4.090e-01   3.456e-01
   81     163   -2.127208e+01   1.724e-03   1.000e+00   6.166e-01   6.342e-01
   82     165   -2.128079e+01   2.352e-03   1.000e+00   8.981e-01   9.603e-01
   83     167   -2.129500e+01   5.561e-03   1.000e+00   1.531e+00   1.265e+00
   84     169   -2.130638e+01   7.854e-03   1.000e+00   1.519e+00   1.331e+00
   85     171   -2.131535e+01   5.001e-03   1.000e+00   1.169e+00   9.241e-01
   86     173   -2.132402e+01   2.532e-03   1.000e+00   1.001e+00   5.248e-01
   87     175   -2.133839e+01   5.448e-03   1.000e+00   1.497e+00   5.640e-01
   88     177   -2.135089e+01   3.462e-03   1.000e+00   6.447e-01   7.839e-01
   89     179   -2.136787e+01   6.813e-03   1.000e+00   9.006e-01   4.928e-01
   90     181   -2.137636e+01   5.566e-03   1.000e+00   1.138e+00   6.635e-01

                                                          Norm of First-order
